,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,合計,統計期間
31,馬尼拉,19.0,7.9,11.1,21.4,165.2,265.0,419.6,486.1,330.3,270.9,129.3,75.4,2201.2,1971~2000
32,馬德里,37.0,35.0,26.0,47.0,52.0,25.0,15.0,10,28,49.0,56.0,56.0,436.0,1971~2000
33,曼谷,9.0,30.0,29.0,65.0,220.0,149.0,155.0,197,344,242.0,48.0,10.0,1498.0,1961~1990
34,莫斯科,42.0,36.0,34.0,44.0,51.0,75.0,94.0,77,65,59.0,58.0,56.0,691.0,.
35,雪梨,96.0,128.6,111.4,140.5,119.8,116.8,79.8,94,70.1,82.7,104.0,79.2,1222.9,1981~2010
36,斯德哥爾摩,39.0,27.0,26.0,30.0,30.0,45.0,72.0,66,55,50.0,53.0,46.0,539.0,1961~1990
37,華沙,22.1,22.0,28.1,34.8,50.7,71.3,73.2,59,49,38.2,36.6,34.6,519.6,1971~2000
38,開羅,5.0,3.8,3.8,1.1,0.5,0.1,0.0,< 0.1,< 0.1,0.7,3.8,5.9,24.7,1971~2000
39,雅加達,384.7,309.8,100.3,257.8,133.4,83.1,30.8,34.2,29,33.1,175.0,84.0,1655.2,.
40,雅典,56.9,46.7,40.7,30.8,22.7,10.6,5.8,6,13.9,52.6,58.3,69.1,414.1,1955~1997
41,奧克蘭,74.3,81.2,86.4,92.9,100.4,116.3,125.6,111.4,92.9,80.2,83.6,91.4,1136.6,1961~1990
42,奧斯陸,49.0,36.0,47.0,41.0,53.0,65.0,81.0,89,90,84.0,73.0,55.0,763.0,1961~1990
43,新加坡,198.0,154.0,171.0,141.0,158.0,140.0,145.0,143,177,167.0,252.0,304.0,2150.0,.
44,新德里,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235,113,17.0,9.0,9.0,790.0,1971~1990
45,溫哥華,153.6,123.1,114.3,84.0,67.9,54.8,39.6,39.1,53.5,112.6,181.0,175.7,1199.2,1971~2000
46,維也納,37.2,39.4,46.1,51.7,61.8,70.2,68.2,57.8,53.5,40.0,50.0,44.4,620.3,1971~2000
47,墨西哥城,11.0,4.3,10.1,25.9,56.0,134.8,175.1,169.2,144.8,66.9,12.1,6.0,816.2,1951~1980
48,墨爾本,45.1,39.9,40.7,50.2,46.5,46.5,44.7,50.5,52.9,58.5,63.1,63.3,601.9,1981~2010
49,檀香山,58.7,50.5,51.3,16.0,15.7,6.6,13.0,14.2,17.8,46.7,61.5,82.3,434.3,1981~2010
50,邁阿密,56.1,58.7,70.1,68.8,128.5,209.6,100.8,148.6,191.3,117.1,71.6,50.8,1272.0,1981~2010
51,舊金山,114.3,113.3,82.8,37.1,17.8,4.1,0.0,1.5,5.3,28.4,80.3,115.8,600.7,1981~2010
52,羅馬,66.9,73.3,57.8,80.5,52.8,34.0,19.2,36.8,73.3,113.3,115.4,81.0,804.3,1971~2000
